#x y co10 co21 13co10 13co21 c18o21 1.45GHz b3 b6 halpha ssc_density
151.01034 -6.4685332 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01034 -6.4678115 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.01034 -6.4670898 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.00992 -6.4829669 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.00992 -6.4822452 22.703 68.315 0.0 4.27 0.0 0.0 0.0 0.0 1.3861e-16 2.6
151.00992 -6.4815235 54.775 154.864 0.0 12.444 0.0 0.0 0.0 0.0 1.00588e-15 65.28
151.00992 -6.4808019 38.534 124.635 0.0 9.393 0.0 0.0 0.0 0.0 1.79467e-15 31.72
151.00992 -6.4800802 30.707 86.402 0.0 0.0 0.0 0.0 0.0 0.0 1.11723e-15 16.04
151.00992 -6.4793585 39.894 63.145 0.0 0.0 0.0 0.0 0.0 0.0 6.2071e-16 1.42
151.00992 -6.4786368 24.468 31.436 0.0 0.0 0.0 0.0 0.0 0.0 1.7144e-16 0.02
151.00992 -6.4779151 12.327 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3404e-16 1.95
151.00992 -6.4771934 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.7685e-16 53.19
151.00992 -6.4764717 21.555 84.698 0.0 0.0 0.0 0.0 0.0 0.0 2.0553e-16 39.05
151.00992 -6.47575 74.582 287.132 0.0 0.0 0.0 0.0 0.0 0.005054 3.0297e-16 37.61
151.00992 -6.4750284 223.594 698.09 0.0 23.21 0.0 0.0 0.003884 0.010111 5.5707e-16 118.22
151.00992 -6.4743067 199.1 613.068 3.271 27.963 0.0 0.0 0.0 0.00983 7.7654e-16 206.67
151.00992 -6.473585 24.441 110.244 0.0 0.0 0.0 0.0 0.0 0.0 7.1934e-16 155.06
151.00992 -6.4728633 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.4542e-16 78.15
151.00992 -6.4721416 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.7628e-16 68.17
151.00992 -6.4714199 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.9382e-16 50.41
151.00992 -6.4706982 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.59
151.00992 -6.4699765 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.00992 -6.4692549 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.00992 -6.4685332 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
151.00992 -6.4678115 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
